Year,j_new_construction,j_renovation,j_occupancy,ownerType,j_zip,valuation,Number_ParID,j_parcel_id,Long,Lat
2022,FALSE,FALSE,Comm,c,2130,14000,1901111000,1901111000,-71.11163298,42.31220704
2017,FALSE,FALSE,1-2FAM,*,2131,9600,1902924000,1902924000,-71.1221124,42.29344559
2015,FALSE,FALSE,1-2FAM,*,2125,1350,1502483000,1502483000,-71.06834053,42.31447704
2013,FALSE,FALSE,1-3FAM,*,2125,100,1502175000,1502175000,-71.06962135,42.30628229
2014,FALSE,FALSE,1-2FAM,*,2125,1000,1502085000,1502085000,-71.06911059,42.30749074
2018,FALSE,FALSE,1-2FAM,*,2121,11000,1400804000,1400804000,-71.08342991,42.30662481
2022,FALSE,TRUE,1-2FAM,*,2130,20000,1901125000,1901125000,-71.10995342,42.31157638
2022,FALSE,TRUE,Multi,*,2130,20607,1901312000,1901312000,-71.11452765,42.30871257
2020,FALSE,TRUE,Comm,*,2124,10000,1704156001,1704156001,-71.06932271,42.2775194
2022,FALSE,TRUE,1-2FAM,*,2124,3000,1701089000,1701089000,-71.06689236,42.29612674
2019,FALSE,TRUE,1-2FAM,*,2125,35000,1301416000,1301416000,-71.06258225,42.31499447
2017,FALSE,FALSE,,*,2121,1000,1400204000,1400204000,-71.07773785,42.31311491
2022,FALSE,FALSE,1-3FAM,*,2121,500,1400865000,1400865000,-71.08307551,42.30489995
2021,FALSE,FALSE,1-2FAM,*,2136,8100,1810866000,1810866000,-71.11122844,42.25308118
2021,FALSE,FALSE,1-2FAM,*,2125,24766.11,1301531000,1301531000,-71.06163478,42.31285539
2020,FALSE,TRUE,1-2FAM,*,2132,192000,2006142000,2006142000,-71.15137052,42.29222648
2021,FALSE,FALSE,1-2FAM,*,2132,3000,2006322000,2006322000,-71.15610685,42.29136591
2020,FALSE,TRUE,1-2FAM,t,2130,5000,1902828000,1902828000,-71.11555537,42.30001929
2017,FALSE,TRUE,Comm,c,2125,800,1301954000,1301954000,-71.05750124,42.31829424
2010,FALSE,TRUE,3unit,c,2125,37000,1302048000,1302048000,-71.05695177,42.3159933
2021,FALSE,FALSE,1-2FAM,*,2121,530.82,1502324000,1502324000,-71.07097451,42.30664489
2018,FALSE,FALSE,Multi,c,2134,64335,2101065000,2101065000,-71.13699208,42.34900955
2019,FALSE,TRUE,1-3FAM,c,2125,400,1302140000,1302140000,-71.05728085,42.31368191
2015,FALSE,FALSE,1-2FAM,*,2132,12000,2006325000,2006325000,-71.15577549,42.29170833
2017,FALSE,TRUE,1-3FAM,t,2131,199,1903251000,1903251000,-71.12262259,42.29050841
2018,FALSE,FALSE,1-3FAM,*,2121,2000,1400490000,1400490000,-71.07915663,42.31075231
2022,FALSE,TRUE,1-2FAM,*,2121,15000,1400177000,1400177000,-71.07491579,42.31184236
2022,FALSE,TRUE,1-2FAM,*,2132,1500,2006256000,2006256000,-71.1538006,42.28747603
2017,FALSE,FALSE,1-2FAM,*,2124,4670.04,1702420000,1702420000,-71.07162853,42.29720728
2020,FALSE,TRUE,1-3FAM,*,2124,11500,1702004000,1702004000,-71.07865468,42.28362235
2011,FALSE,TRUE,1-2FAM,*,2132,2000,2005907000,2005907000,-71.15129161,42.28820069
2017,FALSE,TRUE,1-3FAM,*,2120,30000,1000789000,1000789000,-71.10442758,42.3313412
2013,FALSE,FALSE,1-3FAM,*,2125,3000,1301605000,1301605000,-71.05921919,42.31264354
2021,FALSE,FALSE,1-2FAM,*,2132,5600,2006804003,2006804003,-71.16599762,42.29246069
2018,FALSE,FALSE,1-2FAM,t,2130,250,1902830000,1902830000,-71.11529025,42.30010717
2012,FALSE,FALSE,1-2FAM,*,2124,7905,1403398000,1403398000,-71.08640812,42.28339319
2018,FALSE,TRUE,1-2FAM,*,2135,3500,2204171000,2204171000,-71.15527089,42.35151593
2021,FALSE,TRUE,1-2FAM,o,2135,250,2204307000,2204307000,-71.15648897,42.35352639
2014,FALSE,FALSE,1-3FAM,*,2215,2000,2102424000,2102424000,-71.14717712,42.33775997
2020,FALSE,TRUE,1-2FAM,*,2136,7000,1804439000,1804439000,-71.11647051,42.25976532
2012,FALSE,TRUE,1-2FAM,*,2136,4000,1807129000,1807129000,-71.11176386,42.26546989
2015,FALSE,FALSE,1-2FAM,*,2132,9000,2006841000,2006841000,-71.16327251,42.29345454
2019,FALSE,TRUE,1-2FAM,t,2125,13437.45,1302070000,1302070000,-71.05818234,42.31553152
2014,FALSE,FALSE,1-2FAM,*,2124,2600,1703143000,1703143000,-71.07222487,42.27865515
2021,FALSE,TRUE,Other,c,2121,2500,1400554000,1400554000,-71.08152749,42.31042906
2020,FALSE,TRUE,3unit,*,2121,300,1400556000,1400556000,-71.0810483,42.31037737
2010,FALSE,FALSE,1-3FAM,c,2125,1000,1301763000,1301763000,-71.06218853,42.31622293
2022,FALSE,TRUE,1-2FAM,*,2136,24059.28,1808616000,1808616000,-71.12836285,42.26923778
2017,FALSE,FALSE,1-2FAM,*,2136,7491.83,1808101000,1808101000,-71.12011684,42.26379671
2022,FALSE,FALSE,1-4FAM,*,2130,1000,1901052000,1901052000,-71.11197487,42.31275856
2022,FALSE,FALSE,1-2FAM,*,2131,18144,1903026000,1903026000,-71.12395773,42.29234914
2020,FALSE,FALSE,1-2FAM,*,2126,800,1802906000,1802906000,-71.09915502,42.27846979
2022,FALSE,FALSE,Other,*,2126,49000,1803371000,1803371000,-71.10889831,42.27432077
2015,FALSE,TRUE,1-2FAM,t,2130,2295,1901075000,1901075000,-71.11336329,42.31348861
2013,FALSE,TRUE,1-3FAM,*,2125,3800,1301813000,1301813000,-71.06075931,42.3153502
2022,FALSE,TRUE,1Unit,t,2125,16000,1301362000,1301362000,-71.0633887,42.31611194
2021,FALSE,FALSE,1-2FAM,*,2125,1500,1301621000,1301621000,-71.0600292,42.31038286
2017,FALSE,FALSE,1Unit,t,2132,1000,2007571000,2007571000,-71.16666339,42.29304049
